date,open,high,low,close
2018-10-12,3123.37,3184.12,3094.97,3170.73
2018-10-11,3179.54,3209.52,3099.04,3124.11
2018-10-10,3295.43,3315.73,3256.58,3281.6
2018-10-09,3290.17,3309.8,3276.13,3288.69
2018-10-08,3361.56,3364.46,3285.25,3290.9
2018-09-28,3409.96,3444.99,3404.7,3438.86
2018-09-27,3415.95,3423.71,3394.73,3403.59
2018-09-26,3388.56,3448.26,3383.24,3417.24
2018-09-25,3375.97,3394.38,3367.03,3379.8
2018-09-21,3320.7,3410.49,3307.77,3410.49
2018-09-20,3314.88,3332.31,3303.07,3310.13
2018-09-19,3262.0,3335.99,3258.31,3312.48
2018-09-18,3193.64,3270.11,3193.64,3269.43
2018-09-17,3224.93,3230.79,3200.51,3204.92
2018-09-14,3242.83,3254.1,3227.94,3242.09
2018-09-13,3239.69,3249.59,3191.4,3236.57
2018-09-12,3216.99,3225.6,3194.98,3202.02
2018-09-11,3229.71,3245.62,3209.11,3224.21
2018-09-10,3271.38,3277.88,3227.85,3230.07
2018-09-07,3273.89,3316.61,3253.73,3277.64
2018-09-06,3286.66,3311.5,3253.76,3262.88
2018-09-05,3349.7,3354.2,3298.14,3298.14
2018-09-04,3324.19,3370.96,3307.96,3363.9
2018-09-03,3320.69,3325.61,3291.78,3321.82
2018-08-31,3333.38,3356.58,3310.87,3334.5
2018-08-30,3385.81,3402.56,3349.47,3351.09
2018-08-29,3393.05,3398.71,3377.12,3386.57
2018-08-28,3408.15,3416.59,3388.81,3400.17
2018-08-27,3339.39,3406.57,3339.26,3406.57
2018-08-24,3308.48,3353.04,3291.87,3325.33
2018-08-23,3308.46,3336.11,3285.81,3320.03
2018-08-22,3328.97,3328.97,3299.39,3307.95
2018-08-21,3271.84,3331.71,3270.03,3326.65
2018-08-20,3238.22,3267.25,3209.01,3267.25
2018-08-17,3305.9,3311.57,3224.1,3229.62
2018-08-16,3251.86,3315.2,3231.56,3276.73
2018-08-15,3371.96,3372.14,3288.71,3291.98
2018-08-14,3386.48,3391.73,3356.61,3372.91
2018-08-13,3369.98,3396.19,3336.7,3390.34
2018-08-10,3398.41,3424.04,3380.57,3405.02
2018-08-09,3303.48,3408.39,3299.62,3397.53
2018-08-08,3362.15,3368.16,3311.77,3314.51
2018-08-07,3284.98,3368.96,3263.5,3368.87
2018-08-06,3312.82,3344.25,3257.69,3273.27
2018-08-03,3366.66,3381.34,3315.2,3315.28
2018-08-02,3434.35,3434.35,3322.1,3370.96
2018-08-01,3530.03,3543.61,3446.78,3447.39
2018-07-31,3510.47,3528.15,3493.15,3517.66
2018-07-30,3520.85,3550.9,3489.55,3515.08
2018-07-27,3533.77,3545.41,3512.7,3521.23
2018-07-26,3583.32,3593.92,3528.64,3536.25
2018-07-25,3589.51,3589.98,3566.31,3577.75
2018-07-24,3530.66,3596.51,3530.66,3581.71
2018-07-23,3471.86,3527.53,3464.65,3525.75
2018-07-20,3426.46,3505.93,3398.95,3492.89
2018-07-19,3444.8,3466.51,3417.96,3428.34
2018-07-18,3456.61,3479.26,3430.16,3431.32
2018-07-17,3466.42,3467.19,3420.97,3449.38
2018-07-16,3488.97,3506.24,3459.73,3472.09
2018-07-13,3488.5,3499.76,3474.91,3492.69
2018-07-12,3403.33,3499.1,3403.33,3481.06
2018-07-11,3398.93,3427.57,3375.14,3407.53
2018-07-10,3464.91,3474.14,3437.27,3467.52
2018-07-09,3378.91,3459.32,3378.91,3459.18
2018-07-06,3347.06,3396.25,3295.73,3365.12
2018-07-05,3365.55,3398.49,3330.71,3342.44
2018-07-04,3398.78,3418.33,3359.09,3363.75
2018-07-03,3410.48,3422.04,3319.29,3409.28
2018-07-02,3504.46,3506.9,3383.5,3407.96
2018-06-29,3431.96,3512.38,3425.22,3510.98
2018-06-28,3434.94,3477.06,3416.95,3423.53
2018-06-27,3525.13,3537.66,3441.79,3459.26
2018-06-26,3521.59,3541.78,3478.21,3531.11
2018-06-25,3625.8,3631.03,3559.03,3560.48
2018-06-22,3567.89,3609.08,3542.46,3608.9
2018-06-21,3633.56,3673.56,3589.49,3592.97
2018-06-20,3602.55,3649.34,3578.17,3635.44
2018-06-19,3702.67,3712.82,3583.02,3621.12
2018-06-15,3763.04,3780.34,3737.43,3753.43
2018-06-14,3774.64,3808.16,3759.25,3773.37
2018-06-13,3814.62,3817.45,3782.07,3788.34
2018-06-12,3783.19,3830.47,3765.26,3825.95
2018-06-11,3770.21,3792.55,3756.51,3779.98
2018-06-08,3819.45,3819.46,3759.27,3779.62
2018-06-07,3846.94,3859.85,3827.69,3831.01
2018-06-06,3839.68,3848.33,3830.9,3837.35
2018-06-05,3811.29,3845.56,3800.93,3845.32
