,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,603165,荣晟环保,--,--,--,2334.0156,--,--
1,603180,金牌厨柜,--,--,--,1643.463,--,--
2,603197,保隆科技,--,--,--,3684.016,--,--
3,603203,快克股份,--,--,--,-10900.4324,--,--
4,603228,景旺电子,--,--,--,1593.1832,--,--
5,603238,诺邦股份,--,--,--,1088.5629,--,--
6,603298,杭叉集团,--,--,--,-54635.2874,--,--
7,603313,梦百合,--,--,--,2584.485,--,--
8,603319,湘油泵,--,--,--,521.9345,--,--
9,300514,友讯达,--,--,--,485.4769,--,--
10,603326,我乐家居,--,--,--,-4062.5905,--,--
11,603357,设计总院,--,--,--,50658.9342,--,--
12,603385,惠达卫浴,--,--,--,629.3076,--,--
13,300539,横河模具,--,--,--,622.4131,--,--
14,603393,新天然气,--,--,--,7178.4929,--,--
15,300543,朗科智能,--,--,--,-13898.6834,--,--
16,603421,鼎信通讯,--,--,--,1752.7562,--,--
17,300548,博创科技,--,--,--,24795.1941,--,--
18,603496,恒为科技,--,--,--,--,--,--
19,300552,万集科技,--,--,--,5050.4096,--,--
20,603515,欧普照明,--,--,--,776.2604,--,--
21,300556,丝路视觉,--,--,--,-6350.053,--,--
22,300560,中富通,--,--,--,851.3312,--,--
23,603556,海兴电力,--,--,--,-1773.7884,--,--
24,300565,科信技术,--,--,--,3351.2794,--,--
25,300569,天能重工,--,--,--,-4339.3302,--,--
26,603578,三星新材,--,--,--,--,--,--
27,300573,兴齐眼药,--,--,--,547.0925,--,--
28,603586,金麒麟,--,--,--,747.2081,--,--
29,300578,会畅通讯,--,--,--,-4312.0434,--,--
30,300582,英飞特,--,--,--,4286.994,--,--
31,300586,美联新材,--,--,--,3438.4838,--,--
32,300590,移为通信,--,--,--,2789.7657,--,--
33,300595,欧普康视,--,--,--,115560.9613,--,--
34,603633,徕木股份,--,--,--,281.2923,--,--
35,300599,雄塑科技,--,--,--,1962.8474,--,--
36,603639,海利尔,--,--,--,17730.0977,--,--
37,300603,立昂技术,--,--,--,3169.1068,--,--
38,300607,拓斯达,--,--,--,--,--,--
39,601127,小康股份,--,--,--,1009.6468,--,--
40,300611,美力科技,--,--,--,5774.064,--,--
41,300616,尚品宅配,--,--,--,-17376.5256,--,--
42,300620,光库科技,--,--,--,-25470.0071,--,--
43,300625,三雄极光,--,--,--,4935.9935,--,--
44,2811,亚泰国际,--,--,--,771.9497,--,--
45,300629,新劲刚,--,--,--,422.3147,--,--
46,2816,和科达,--,--,--,4835.6672,--,--
47,300633,开立医疗,--,--,--,2273.6363,--,--
48,2820,桂发祥,--,--,--,101501.8459,--,--
49,603758,秦安股份,--,--,--,2942.4471,--,--
50,300638,广和通,--,--,--,2414.7961,--,--
51,2824,和胜股份,--,--,--,1261.8911,--,--
52,603777,来伊份,--,--,--,-25769.4191,--,--
53,300642,透景生命,--,--,--,17938.3464,--,--
54,2828,贝肯能源,--,--,--,-1086.4287,--,--
55,300648,星云股份,--,--,--,9107.868,--,--
56,2832,比音勒芬,--,--,--,-23728.7327,--,--
57,300652,雷迪克,--,--,--,1745.6007,--,--
58,2837,英维克,--,--,--,4065.2256,--,--
59,300658,延江股份,--,--,--,845.5204,--,--
60,300667,必创科技,--,--,--,-824.2462,--,--
61,2849,威星智能,--,--,--,-1443.4255,--,--
62,603833,欧派家居,--,--,--,2267.4339,--,--
63,300671,富满电子,--,--,--,1302.5107,--,--
64,2853,皮阿诺,--,--,--,1066.0479,--,--
65,300676,华大基因,--,--,--,9406.2566,--,--
66,2858,力盛赛车,--,--,--,-31821.5322,--,--
67,603860,中公高科,--,--,--,-1963.6352,--,--
68,300682,朗新科技,--,--,--,2402.5931,--,--
69,601611,中国核建,--,--,--,242.538,--,--
70,2862,实丰文化,--,--,--,424.3154,--,--
71,300693,盛弘股份,--,--,--,7848.8047,--,--
72,2867,周大生,--,--,--,6036.4531,--,--
73,603881,数据港,--,--,--,467.0054,--,--
74,2871,伟隆股份,--,--,--,-8772.0068,--,--
75,603887,城地股份,--,--,--,3412.4387,--,--
76,2882,金龙羽,--,--,--,986.973,--,--
77,603896,寿仙谷,--,--,--,1175.809,--,--
78,603920,世运电路,--,--,--,-6484.1414,--,--
79,603933,睿能科技,--,--,--,1955.8241,--,--
80,603955,大千生态,--,--,--,148.1106,--,--
81,603966,法兰泰克,--,--,--,-310.6153,--,--
82,603978,深圳新星,--,--,--,2106.633,--,--
83,603986,兆易创新,--,--,--,-36041.2836,--,--
84,603990,麦迪科技,--,--,--,-250.9848,--,--
85,601966,玲珑轮胎,--,--,--,407.9648,--,--
86,603032,德新交运,--,--,--,--,--,--
87,603037,凯众股份,--,--,--,-34825.497,--,--
88,603041,美思德,--,--,--,25965.4114,--,--
89,603078,江化微,--,--,--,2351.389,--,--
90,603098,森特股份,--,--,--,944.6279,--,--
91,603138,海量数据,--,--,--,-8683.9306,--,--
92,603179,新泉股份,--,--,--,917.5215,--,--
93,603189,网达软件,--,--,--,-305.9262,--,--
94,603200,上海洗霸,--,--,--,--,--,--
95,603233,大参林,--,--,--,2041.7862,--,--
96,603266,天龙股份,--,--,--,2330.875,--,--
97,603303,得邦照明,--,--,--,1234.9775,--,--
98,603323,吴江银行,--,--,--,--,--,--
99,603331,百达精工,--,--,--,531.8001,--,--
100,603337,杰克股份,--,--,--,5045.4439,--,--
101,600909,华安证券,--,--,--,--,--,--
102,300530,达志科技,--,--,--,-21494.6107,--,--
103,603388,元成股份,--,--,--,-214.1814,--,--
104,300541,先进数通,--,--,--,110.5906,--,--
105,300546,雄帝科技,--,--,--,7682.5555,--,--
106,603444,吉比特,--,--,--,-1500.431,--,--
107,300550,和仁科技,--,--,--,2501.0505,--,--
108,603505,金石资源,--,--,--,332.7641,--,--
109,300554,三超新材,--,--,--,-30796.0533,--,--
110,300558,贝达药业,--,--,--,38946.7173,--,--
111,603538,美诺华,--,--,--,2825.9793,--,--
112,300562,乐心医疗,--,--,--,-5695.7628,--,--
113,603559,中通国脉,--,--,--,530.0612,--,--
114,300567,精测电子,--,--,--,-156.0129,--,--
115,300571,平治信息,--,--,--,1503.0578,--,--
116,300576,容大感光,--,--,--,2885.2196,--,--
117,300580,贝斯特,--,--,--,5550.9948,--,--
118,300584,海辰药业,--,--,--,1322.6968,--,--
119,300588,熙菱信息,--,--,--,1834.8705,--,--
120,300581,晨曦航空,--,--,--,8791.2408,--,--
121,300585,奥联电子,--,--,--,21110.6917,--,--
122,300589,江龙船艇,--,--,--,-654.3694,--,--
123,603617,君禾股份,--,--,--,1096.2882,--,--
124,300593,新雷能,--,--,--,1974.502,--,--
125,603630,拉芳家化,--,--,--,-3541.4008,--,--
126,300598,诚迈科技,--,--,--,1531.2968,--,--
127,603638,艾迪精密,--,--,--,2425.7303,--,--
128,300602,飞荣达,--,--,--,31511.8571,--,--
129,603660,苏州科达,--,--,--,34.5465,--,--
130,300606,金太阳,--,--,--,6166.5379,--,--
131,603668,天马科技,--,--,--,435.4257,--,--
132,300610,晨化股份,--,--,--,-40942.634,--,--
133,603680,今创集团,--,--,--,2644.0284,--,--
134,300615,欣天科技,--,--,--,2379.0384,--,--
135,603690,至纯科技,--,--,--,996.3705,--,--
136,300619,金银河,--,--,--,-363.0232,--,--
137,300623,捷捷微电,--,--,--,-20095.3196,--,--
138,2810,山东赫达,--,--,--,466.6265,--,--
139,603717,天域生态,--,--,--,-210.5239,--,--
140,300628,亿联网络,--,--,--,6476.6391,--,--
141,601212,白银有色,--,--,--,148.6423,--,--
142,603728,鸣志电器,--,--,--,1341.7039,--,--
143,300632,光莆股份,--,--,--,--,--,--
144,2819,东方中科,--,--,--,-1251.7031,--,--
145,603757,大元泵业,--,--,--,2120.2401,--,--
146,300637,扬帆新材,--,--,--,-35775.0033,--,--
147,2823,凯中精密,--,--,--,1224.1505,--,--
148,603768,常青股份,--,--,--,974.4819,--,--
149,300641,正丹股份,--,--,--,1239.4659,--,--
150,2827,高争民爆,--,--,--,5887.0392,--,--
151,603787,新日股份,--,--,--,-1188.7758,--,--
152,300647,超频三,--,--,--,11527.971,--,--
153,2831,裕同科技,--,--,--,822.4488,--,--
154,300651,金陵体育,--,--,--,3120.4698,--,--
155,601366,利群股份,--,--,--,536.8837,--,--
156,2836,新宏泽,--,--,--,-65982.5924,--,--
157,603803,瑞斯康达,--,--,--,1611.5892,--,--
158,300657,弘信电子,--,--,--,-20.5638,--,--
159,2840,华统股份,--,--,--,397.9852,--,--
160,603816,顾家家居,--,--,--,3309.5572,--,--
161,300662,科锐国际,--,--,--,-3114.7311,--,--
162,601500,通用股份,--,--,--,327.851,--,--
163,2845,同兴达,--,--,--,-11133.4484,--,--
164,300667,必创科技,--,--,--,-824.2462,--,--
165,2849,威星智能,--,--,--,-1443.4255,--,--
166,603833,欧派家居,--,--,--,2267.4339,--,--
167,300671,富满电子,--,--,--,1302.5107,--,--
168,2853,皮阿诺,--,--,--,1066.0479,--,--
169,300676,华大基因,--,--,--,9406.2566,--,--
170,2858,力盛赛车,--,--,--,-31821.5322,--,--
171,603860,中公高科,--,--,--,-1963.6352,--,--
172,300682,朗新科技,--,--,--,2402.5931,--,--
173,601611,中国核建,--,--,--,242.538,--,--
174,2862,实丰文化,--,--,--,424.3154,--,--
175,300693,盛弘股份,--,--,--,7848.8047,--,--
176,2867,周大生,--,--,--,6036.4531,--,--
177,603881,数据港,--,--,--,467.0054,--,--
178,2871,伟隆股份,--,--,--,-8772.0068,--,--
179,603887,城地股份,--,--,--,3412.4387,--,--
180,601375,中原证券,--,--,--,--,--,--
181,2839,张家港行,--,--,--,--,--,--
182,603811,诚意药业,--,--,--,5344.329,--,--
