date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-10-12,2574.04,2615.92,2606.91,2536.67,1700816.38,23.45,0.91,2670.746,2735.228,2711.251,1493982.73,1414847.03,1240053.43
2018-10-11,2643.07,2661.29,2583.46,2560.32,1971507.0,-142.38,-5.22,2713.634,2747.461,2715.485,1422400.35,1356152.85,1204521.52
2018-10-10,2723.72,2743.55,2725.84,2703.06,1134857.38,4.83,0.18,2755.296,2762.2,2721.529,1276094.35,1300552.46,1158447.31
2018-10-09,2713.73,2734.31,2721.01,2711.2,1167719.0,4.5,0.17,2771.49,2759.611,2722.766,1328258.28,1302834.71,1156209.6
2018-10-08,2768.21,2771.94,2716.51,2710.18,1495013.88,-104.84,-3.72,2783.516,2752.689,2722.752,1318680.83,1274301.7,1148930.15
2018-09-28,2794.26,2821.76,2821.35,2791.84,1342904.5,29.58,1.06,2799.71,2749.202,2723.189,1335711.33,1224805.32,1129058.83
2018-09-27,2805.79,2810.51,2791.77,2786.32,1239977.0,-15.04,-0.54,2781.288,2735.725,2719.009,1289905.35,1197849.88,1114944.07
2018-09-26,2785.32,2827.34,2806.81,2783.34,1395677.0,25.67,0.92,2769.104,2722.159,2717.885,1325010.57,1163878.94,1103023.69
2018-09-25,2775.07,2790.03,2781.14,2771.16,1119831.75,-16.34,-0.58,2747.732,2707.958,2716.443,1277411.15,1124177.18,1092614.52
2018-09-21,2733.87,2797.49,2797.48,2722.03,1580166.38,68.24,2.5,2721.862,2696.792,2716.431,1229922.58,1115753.18,1103004.22
2018-09-20,2732.17,2743.96,2729.24,2724.08,1113874.62,-1.61,-0.06,2698.694,2687.274,2713.029,1113899.31,1065259.83,1074254.03
2018-09-19,2694.8,2746.08,2730.85,2690.99,1415503.12,30.9,1.14,2690.162,2683.509,2712.798,1105794.41,1052890.19,1067783.54
2018-09-18,2644.3,2700.19,2699.95,2644.3,1157679.88,48.16,1.82,2675.214,2680.858,2711.986,1002747.3,1016342.16,1043840.7
2018-09-17,2671.29,2671.29,2651.79,2647.92,882388.88,-29.85,-1.11,2668.184,2685.921,2713.68,970943.21,1009584.48,1042750.13
2018-09-14,2688.78,2694.92,2681.64,2675.29,1000050.06,-4.94,-0.18,2671.722,2692.815,2716.014,1001583.77,1023558.61,1054022.76
2018-09-13,2679.21,2689.06,2686.58,2653.19,1073350.12,30.47,1.15,2675.854,2697.176,2715.38,1016620.34,1033312.34,1060242.91
2018-09-12,2659.74,2672.07,2656.11,2647.17,900267.56,-8.69,-0.33,2676.856,2702.292,2716.311,999985.98,1032038.26,1066714.34
2018-09-11,2668.49,2680.57,2664.8,2652.7,998659.44,-4.68,-0.17,2686.502,2713.61,2719.668,1029937.01,1042168.44,1079781.86
2018-09-10,2698.01,2703.43,2669.48,2667.32,1035591.69,-32.82,-1.22,2703.658,2724.928,2725.476,1048225.75,1061051.86,1084634.42
2018-09-07,2696.68,2728.55,2702.3,2683.72,1075232.88,10.71,0.4,2713.908,2736.07,2731.296,1045533.44,1090255.26,1096620.96
2018-09-06,2697.58,2719.41,2691.59,2683.74,990178.31,-12.75,-0.47,2718.498,2738.783,2735.946,1050004.34,1083248.24,1103625.43
2018-09-05,2741.38,2745.47,2704.34,2704.34,1050022.75,-46.24,-1.68,2727.728,2742.086,2741.086,1064090.55,1082676.88,1129946.69
2018-09-04,2720.65,2756.61,2750.58,2712.38,1090103.12,29.85,1.1,2740.718,2743.113,2743.072,1054399.86,1071339.24,1151289.9
2018-09-03,2716.4,2722.85,2720.73,2692.36,1022130.12,-4.52,-0.17,2746.198,2741.438,2744.512,1073877.96,1075915.77,1171574.62
2018-08-31,2730.11,2744.63,2725.25,2710.54,1097587.38,-12.49,-0.46,2758.232,2739.212,2743.733,1134977.09,1084486.92,1185344.64
2018-08-30,2769.33,2780.53,2737.74,2736.35,1060609.38,-31.55,-1.14,2759.068,2733.584,2744.493,1116492.15,1087173.48,1193968.45
2018-08-29,2774.86,2778.54,2769.29,2762.35,1001569.31,-8.69,-0.31,2756.444,2730.329,2746.007,1101263.21,1101390.42,1228027.49
2018-08-28,2782.29,2791.39,2777.98,2769.4,1187493.62,-2.92,-0.1,2745.508,2725.726,2748.769,1088278.63,1117395.28,1252706.19
2018-08-27,2736.32,2780.9,2780.9,2736.32,1327625.75,51.47,1.89,2736.678,2726.024,2753.69,1077953.58,1108216.99,1252797.07
2018-08-24,2717.08,2748.82,2729.43,2705.32,1005162.69,4.81,0.18,2720.192,2726.521,2758.097,1033996.75,1102986.65,1262241.91
2018-08-23,2714.87,2736.01,2724.62,2700.8,984464.69,10.01,0.37,2708.1,2733.109,2765.305,1057854.81,1124002.62,1285169.58
2018-08-22,2731.96,2731.96,2714.61,2709.06,936646.38,-19.22,-0.7,2704.214,2740.085,2773.186,1101517.63,1177216.49,1320160.44
2018-08-21,2700.34,2739.17,2733.83,2696.29,1135868.38,35.36,1.31,2705.944,2743.031,2782.638,1146511.93,1231240.56,1357228.23
2018-08-20,2673.07,2698.47,2698.47,2653.11,1107841.62,29.5,1.1,2715.37,2747.585,2791.224,1138480.4,1267233.46,1415223.96
2018-08-17,2723.89,2730.33,2668.97,2665.59,1124453.0,-36.22,-1.34,2732.85,2748.254,2799.278,1171976.55,1286202.36,1446523.28
2018-08-16,2691.43,2732.95,2705.19,2672.74,1202778.75,-18.07,-0.66,2758.118,2755.401,2807.293,1190150.43,1300763.43,1463254.48
2018-08-15,2777.25,2777.7,2723.26,2721.24,1161617.88,-57.7,-2.08,2775.956,2761.684,2810.661,1252915.35,1354664.55,1460358.78
2018-08-14,2780.74,2789.44,2780.96,2766.57,1095710.75,-4.91,-0.18,2780.118,2771.811,2813.861,1315969.2,1388017.11,1462758.47
2018-08-13,2769.02,2789.8,2785.87,2742.56,1275322.38,-9.44,-0.34,2779.8,2781.355,2814.719,1395986.53,1397377.15,1460677.54
2018-08-10,2791.4,2806.11,2795.31,2777.51,1215322.38,0.93,0.03,2763.658,2789.673,2816.128,1400428.18,1421497.16,1450795.0
2018-08-09,2729.58,2801.66,2794.38,2726.22,1516603.38,50.31,1.83,2752.684,2797.501,2817.921,1411376.42,1446336.54,1448873.56
2018-08-08,2771.13,2779.91,2744.07,2741.07,1476887.12,-35.3,-1.27,2747.412,2806.286,2820.085,1456413.75,1463104.4,1446533.49
2018-08-07,2711.74,2779.37,2779.37,2696.04,1495797.38,74.21,2.74,2763.504,2822.244,2821.77,1460065.02,1483215.9,1436099.71
2018-08-06,2736.53,2760.47,2705.16,2692.32,1297530.62,-35.28,-1.29,2782.91,2834.863,2824.183,1398767.77,1563214.46,1419841.21
2018-08-03,2763.4,2777.66,2740.44,2740.43,1270063.62,-27.58,-1.0,2815.688,2850.301,2829.681,1442566.15,1606844.2,1415739.34
2018-08-02,2815.34,2815.34,2768.02,2726.48,1741790.0,-56.51,-2.0,2842.318,2859.184,2830.02,1481296.65,1625745.52,1420383.34
2018-08-01,2882.51,2897.4,2824.53,2823.93,1495143.5,-51.87,-1.8,2865.16,2859.637,2828.313,1469795.05,1566053.01,1397906.9
2018-07-31,2866.9,2884.68,2876.4,2854.32,1189311.12,7.35,0.26,2880.984,2855.91,2825.043,1506366.77,1537499.82,1384780.81
2018-07-30,2871.94,2896.01,2869.05,2850.3,1516522.5,-4.54,-0.16,2886.816,2848.083,2820.568,1727661.15,1523977.94,1396564.49
2018-07-27,2879.69,2889.69,2873.59,2864.11,1463716.12,-8.64,-0.3,2884.914,2842.582,2815.893,1771122.25,1480092.84,1389255.88
2018-07-26,2905.79,2915.3,2882.23,2875.7,1684282.0,-21.42,-0.74,2876.05,2838.341,2814.585,1770194.4,1451410.58,1378905.92
2018-07-25,2911.45,2912.31,2903.65,2894.04,1678002.12,-1.91,-0.07,2854.114,2833.884,2809.818,1662310.98,1429962.58,1353870.77
2018-07-24,2862.27,2911.46,2905.56,2862.27,2295783.0,46.02,1.61,2830.836,2821.296,2805.295,1568632.88,1388983.51,1334681.09
